"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20211231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강남구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","202104","15","174,000","9","1988","언주로 103",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202105","15","195,000","5","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202108","11","200,000","3","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202109","2","220,000","2","1987","언주로 3",""," ","-","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202112","4","215,000","3","1987","언주로 3",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","74.66","202101","17","245,000","7","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","49.92","202105","22","180,000","7","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202105","22","198,500","18","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202105","22","198,500","18","2020","개포로 264","20210526"," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","49.92","202105","22","180,000","7","2020","개포로 264","20210526"," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202105","31","205,000","5","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202106","13","210,000","5","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202106","13","210,000","5","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","49.92","202106","15","185,000","6","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","74.66","202108","17","250,000","11","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202108","21","199,500","6","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","84.86","202108","25","285,000","24","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","84.86","202108","31","275,000","5","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","96.91","202109","4","310,000","7","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","84.86","202109","8","278,000","4","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","74.66","202109","16","253,000","2","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202109","17","210,000","8","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","84.83","202109","24","297,000","7","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","84.86","202109","28","272,000","3","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202110","9","224,900","9","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","49.92","202110","13","185,000","5","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202110","20","220,000","15","2020","개포로 264",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202101","5","220,000","3","1984","개포로 307","20210201"," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202101","5","220,000","3","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202101","11","220,000","8","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202101","25","145,000","6","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202102","9","145,000","6","1984","개포로 307","20210223"," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","202104","13","323,000","3","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202104","30","225,000","14","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","133.46","202105","4","289,000","4","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","161","202106","14","365,000","10","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202107","13","245,000","14","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202107","28","249,500","8","1984","개포로 307",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","134.3","202101","13","239,500","8","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","134.3","202101","21","200,000","13","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","170.32","202101","30","270,000","19","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","153.8","202105","11","260,000","21","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","134.3","202105","19","239,850","6","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","170.32","202105","27","260,000","6","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","134.3","202106","16","200,000","20","2004","개포로109길 69",""," ","-","-"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이","134.3","202108","19","254,000","1","2004","개포로109길 69",""," ","-","-"
