"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","등기신청일자","거래유형","중개사소재지"
"서울특별시 강남구 개포동","655-2","0655","0002","개포2차현대아파트(220)","77.75","202309","13","182,000","6","1988","언주로 103",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202307","26","205,000","5","1987","언주로 3","","20230925","직거래","-"
"서울특별시 강남구 개포동","658-1","0658","0001","개포6차우성아파트1동~8동","79.97","202310","4","219,000","3","1987","언주로 3","","20231124","중개거래","서울 강남구"
"서울특별시 강남구 개포동","651-1","0651","0001","개포더샵트리에","105.8064","202306","29","240,000","8","2021","개포로 311","","20230920","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 개포동","651-1","0651","0001","개포더샵트리에","108.2017","202308","15","245,000","10","2021","개포로 311",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","651-1","0651","0001","개포더샵트리에","105.8064","202309","26","225,000","2","2021","개포로 311",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","651-1","0651","0001","개포더샵트리에","108.0923","202311","22","220,000","7","2021","개포로 311",""," ","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202301","5","158,000","13","2020","개포로 264","","20230127","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202301","14","166,000","13","2020","개포로 264","","20230321","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202301","20","167,000","12","2020","개포로 264","","20230531","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202302","21","169,000","14","2020","개포로 264","","20230519","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202302","21","169,000","10","2020","개포로 264","","20230324","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","49.92","202302","22","145,000","14","2020","개포로 264","","20230508","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","84.86","202302","23","223,000","11","2020","개포로 264","","20230504","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202303","12","170,000","4","2020","개포로 264","","20230522","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","59.92","202303","15","130,000","14","2020","개포로 264","","20230414","직거래","-"
