,원달러환율
201801,1066.7
201802,1079.58
201803,1071.89
201804,1067.76
201805,1076.39
201806,1092.8
201807,1122.8
201808,1121.15
201809,1120.6
201810,1130.81
201811,1128.58
201812,1122.9
201901,1122.0
201902,1122.45
201903,1130.72
201904,1140.95
201905,1183.29
201906,1175.62
201907,1175.31
201908,1208.98
201909,1197.55
201910,1184.13
201911,1167.45
201912,1175.84
202001,1164.28
202002,1193.79
202003,1220.09
202004,1225.23
202005,1228.67
202006,1210.01
202007,1198.9
202008,1186.85
202009,1178.8
202010,1144.68
202011,1116.76
202012,1095.13
202101,1097.49
202102,1111.72
202103,1131.02
202104,1119.4
202105,1123.28
202106,1121.3
202107,1143.98
202108,1160.34
202109,1169.54
202110,1182.82
202111,1182.91
202112,1183.7
202201,1194.01
202202,1198.34
202203,1221.03
202204,1232.34
202205,1269.88
202206,1277.35
202207,1307.4
202208,1318.44
202209,1391.59
202210,1426.66
202211,1364.1
202212,1296.22
202301,1247.25
202302,1270.74
202303,1305.73
202304,1320.01
202305,1328.21
202306,1296.71
202307,1286.3
202308,1318.47
202309,1329.47
202310,1350.69
202311,1310.39
