,심리지수
201801,111.0
201802,109.3
201803,109.2
201804,108.2
201805,109.1
201806,106.5
201807,101.9
201808,99.9
201809,100.8
201810,100.1
201811,96.6
201812,97.7
201901,98.4
201902,100.4
201903,100.7
201904,102.5
201905,98.8
201906,98.4
201907,96.9
201908,93.4
201909,97.9
201910,99.5
201911,101.8
201912,101.4
202001,105.0
202002,97.8
202003,79.9
202004,72.5
202005,79.1
202006,83.3
202007,85.6
202008,89.4
202009,80.9
202010,92.7
202011,99.0
202012,91.0
202101,95.3
202102,97.4
202103,100.5
202104,102.3
202105,105.3
202106,110.5
202107,103.4
202108,102.7
202109,103.9
202110,107.0
202111,107.9
202112,104.1
202201,104.7
202202,103.3
202203,103.5
202204,104.1
202205,102.9
202206,96.7
202207,86.3
202208,89.0
202209,91.6
202210,89.0
202211,86.7
202212,90.2
202301,90.7
202302,90.2
202303,92.0
202304,95.1
202305,98.0
202306,100.7
202307,103.2
202308,103.1
202309,99.7
202310,98.1
202311,97.2
