,소비자물가
201801,98.106
201802,98.855
201803,98.751
201804,98.931
201805,98.979
201806,98.779
201807,98.59
201808,99.462
201809,100.221
201810,100.041
201811,99.33
201812,98.988
201901,98.884
201902,99.311
201903,99.121
201904,99.481
201905,99.652
201906,99.491
201907,99.187
201908,99.425
201909,99.794
201910,100.041
201911,99.481
201912,99.719
202001,100.09
202002,100.16
202003,99.94
202004,99.5
202005,99.44
202006,99.71
202007,99.63
202008,100.19
202009,100.74
202010,100.18
202011,100.09
202012,100.33
202101,101.04
202102,101.58
202103,101.84
202104,101.98
202105,102.05
202106,102.05
202107,102.26
202108,102.75
202109,103.17
202110,103.35
202111,103.87
202112,104.04
202201,104.85
202202,105.42
202203,106.1
202204,106.83
202205,107.5
202206,108.21
202207,108.73
202208,108.63
202209,108.82
202210,109.16
202211,109.07
202212,109.26
202301,110.07
202302,110.33
202303,110.52
202304,110.77
202305,111.13
202306,111.16
202307,111.29
202308,112.28
202309,112.83
202310,113.26
202311,112.66
