,평단가,금리,평단가 지수,금리 지수
201801,5284.683426753197,1.5,0.67,3.0
201802,5162.512642383576,1.5,0.66,3.0
201803,5559.3304210936685,1.5,0.71,3.0
201804,5408.207363056913,1.5,0.69,3.0
201805,5384.022907926418,1.5,0.68,3.0
201806,5295.365944403524,1.5,0.67,3.0
201807,6018.374549886663,1.5,0.77,3.0
201808,6152.838395392072,1.5,0.78,3.0
201809,5954.082115100389,1.5,0.76,3.0
201810,5654.036773169348,1.5,0.72,3.0
201811,5524.588140015696,1.75,0.7,3.5
201812,4873.305711867879,1.75,0.62,3.5
201901,5628.728784011895,1.75,0.72,3.5
201902,5708.7654483764,1.75,0.73,3.5
201903,5844.578443346293,1.75,0.74,3.5
201904,6491.395292173746,1.75,0.83,3.5
201905,6681.812073513025,1.75,0.85,3.5
201906,6649.408011216747,1.75,0.85,3.5
201907,6681.755989385734,1.5,0.85,3.0
201908,7067.929722430759,1.5,0.9,3.0
201909,7157.645356021766,1.5,0.91,3.0
201910,6873.882862751975,1.25,0.87,2.5
201911,6906.835714727349,1.25,0.88,2.5
201912,6899.746481599324,1.25,0.88,2.5
202001,6103.649395400603,1.25,0.78,2.5
202002,6991.751526763118,1.25,0.89,2.5
202003,6587.701965787252,0.75,0.84,1.5
202004,6710.708303530912,0.75,0.85,1.5
202005,6486.639592695016,0.5,0.82,1.0
202006,7013.051501414082,0.5,0.89,1.0
202007,6607.723166864089,0.5,0.84,1.0
202008,7163.048184186105,0.5,0.91,1.0
202009,7173.880769319615,0.5,0.91,1.0
202010,7026.070458672642,0.5,0.89,1.0
202011,7443.3711172762,0.5,0.95,1.0
202012,7514.050647568598,0.5,0.96,1.0
202101,7495.15304334053,0.5,0.95,1.0
202102,7857.083924502273,0.5,1.0,1.0
202103,7032.104418333232,0.5,0.89,1.0
202104,7534.705695960582,0.5,0.96,1.0
202105,7236.8281714047025,0.5,0.92,1.0
202106,7864.648057799362,0.5,1.0,1.0
202107,8539.134627110978,0.5,1.09,1.0
202108,7861.212470962982,0.75,1.0,1.5
202109,8053.248972515601,0.75,1.02,1.5
202110,8578.202139281078,0.75,1.09,1.5
202111,7542.875984924528,1.0,0.96,2.0
202112,8420.125385165316,1.0,1.07,2.0
202201,7786.489369676859,1.25,0.99,2.5
202202,7333.77727389208,1.25,0.93,2.5
202203,7860.110073443692,1.25,1.0,2.5
202204,8454.796647921745,1.5,1.08,3.0
202205,7879.285400851618,1.75,1.0,3.5
202206,7936.147464513967,1.75,1.01,3.5
202207,8040.813603979231,2.25,1.02,4.5
202208,6935.555018466188,2.5,0.88,5.0
202209,8078.35286493599,2.5,1.03,5.0
202210,6931.885283203524,3.0,0.88,6.0
202211,7625.415170804705,3.25,0.97,6.5
202212,6922.781692226002,3.25,0.88,6.5
202301,7762.35273285077,3.5,0.99,7.0
202302,7901.469738461616,3.5,1.0,7.0
202303,7862.7859839000175,3.5,1.0,7.0
202304,8243.214138516383,3.5,1.05,7.0
202305,8361.071914215985,3.5,1.06,7.0
202306,8789.291952614565,3.5,1.12,7.0
202307,8650.016658063358,3.5,1.1,7.0
202308,8627.588392149768,3.5,1.1,7.0
202309,8381.031394369349,3.5,1.07,7.0
202310,8845.620143456354,3.5,1.12,7.0
202311,7900.2159444777135,3.5,1.0,7.0
